PETER GOLDTHWAITE'S TREASURE,Nathaniel Hawthorne,United States,,manual/processed/peter-goldthwaite-s-treasure-by-nathaniel-hawthorne-0002-0026.txt
CHIPPINGS WITH A CHISEL,Nathaniel Hawthorne,United States,,manual/processed/chippings-with-a-chisel-by-nathaniel-hawthorne-0002-0027.txt
THE SHAKER BRIDAL,Nathaniel Hawthorne,United States,,manual/processed/the-shaker-bridal-by-nathaniel-hawthorne-0002-0028.txt
NIGHT-SKETCHES,Nathaniel Hawthorne,United States,,manual/processed/night-sketches-by-nathaniel-hawthorne-0002-0029.txt
ENDICOTT AND THE RED CROSS,Nathaniel Hawthorne,United States,,manual/processed/endicott-and-the-red-cross-by-nathaniel-hawthorne-0002-0030.txt
THE LILY'S QUEST,Nathaniel Hawthorne,United States,,manual/processed/the-lily-s-quest-by-nathaniel-hawthorne-0002-0031.txt
FOOTPRINTS ON THE SEASHORE,Nathaniel Hawthorne,United States,,manual/processed/footprints-on-the-seashore-by-nathaniel-hawthorne-0002-0032.txt
EDWARD FANE'S ROSEBUD,Nathaniel Hawthorne,United States,,manual/processed/edward-fane-s-rosebud-by-nathaniel-hawthorne-0002-0033.txt
THE THREEFOLD DESTINY,Nathaniel Hawthorne,United States,,manual/processed/the-threefold-destiny-by-nathaniel-hawthorne-0002-0034.txt
THE MYSTERIOUS STRANGER,Mark Twain,United States,,manual/processed/the-mysterious-stranger-by-mark-twain-0003-0000.txt
A FABLE,Mark Twain,United States,,manual/processed/a-fable-by-mark-twain-0003-0001.txt
HUNTING THE DECEITFUL TURKEY,Mark Twain,United States,,manual/processed/hunting-the-deceitful-turkey-by-mark-twain-0003-0002.txt
THE McWILLIAMSES AND THE BURGLAR ALARM,Mark Twain,United States,,manual/processed/the-mcwilliamses-and-the-burglar-alarm-by-mark-twain-0003-0003.txt
The Hundred,Gertrude Hall Brownell,United States,,manual/processed/the-hundred-by-gertrude-hall-brownell-0004-0000.txt
The Passing of Spring,Gertrude Hall Brownell,United States,,manual/processed/the-passing-of-spring-by-gertrude-hall-brownell-0004-0001.txt
Paula in Italy,Gertrude Hall Brownell,United States,,manual/processed/paula-in-italy-by-gertrude-hall-brownell-0004-0002.txt
Dorastus,Gertrude Hall Brownell,United States,,manual/processed/dorastus-by-gertrude-hall-brownell-0004-0003.txt
