"Yankee Dude'll Do, The",S.E. Kiser,United States,,bookshelf/processed/yankee-dude-ll-do-the-by-s-e-kiser.txt
Spelling Down the Master,Edward Eggleston,United States,,bookshelf/processed/spelling-down-the-master-by-edward-eggleston.txt
Myopia,Wallace Rice,United States,,bookshelf/processed/myopia-by-wallace-rice.txt
Anatole Dubois at de Horse Show,Wallace Bruce Amsbary,United States,,bookshelf/processed/anatole-dubois-at-de-horse-show-by-wallace-bruce-amsbary.txt
"Champion Checker-Player of Ameriky, The",James Whitcomb Riley,United States,,bookshelf/processed/champion-checker-player-of-ameriky-the-by-james-whitcomb-riley.txt
Darby and Joan,St. John Honeywood,United States,,bookshelf/processed/darby-and-joan-by-st-john-honeywood.txt
When the Frost is on the Punkin,James Whitcomb Riley,United States,,bookshelf/processed/when-the-frost-is-on-the-punkin-by-james-whitcomb-riley.txt
Laffing,Josh Billings,United States,,bookshelf/processed/laffing-by-josh-billings.txt
Grizzly-Gru,Ironquill,United States,,bookshelf/processed/grizzly-gru-by-ironquill.txt
John Henry in a Street Car,Hugh McHugh,United States,,bookshelf/processed/john-henry-in-a-street-car-by-hugh-mchugh.txt
"Muskeeter, The",Josh Billings,United States,,bookshelf/processed/muskeeter-the-by-josh-billings.txt
"Turnings of a Bookworm, The",Carolyn Wells,United States,,bookshelf/processed/turnings-of-a-bookworm-the-by-carolyn-wells.txt
"Feast of the Monkeys, The",John Philip Sousa,United States,,bookshelf/processed/feast-of-the-monkeys-the-by-john-philip-sousa.txt
"Billville Spirit Meeting, The",Frank L. Stanton,United States,,bookshelf/processed/billville-spirit-meeting-the-by-frank-l-stanton.txt
"Cry from the Consumer, A",Wilbur D. Nesbit,United States,,bookshelf/processed/cry-from-the-consumer-a-by-wilbur-d-nesbit.txt
"Disappointment, A",John Boyle O'Reilly,United States,,bookshelf/processed/disappointment-a-by-john-boyle-o-reilly.txt
"British Matron, The",Nathaniel Hawthorne,United States,,bookshelf/processed/british-matron-the-by-nathaniel-hawthorne.txt
"Tragedy of It, The",Alden Charles Noble,United States,,bookshelf/processed/tragedy-of-it-the-by-alden-charles-noble.txt
Stage Whispers,Carolyn Wells,United States,,bookshelf/processed/stage-whispers-by-carolyn-wells.txt
"Pettibone Lineage, The",James T. Fields,United States,,bookshelf/processed/pettibone-lineage-the-by-james-t-fields.txt
Why Moles Have Hands,Anne Virginia Culbertsonn,United States,,bookshelf/processed/why-moles-have-hands-by-anne-virginia-culbertsonn.txt
"Psalm of Life, A",Phœbe Cary,United States,,bookshelf/processed/psalm-of-life-a-by-phoebe-cary.txt
"Odyssey of K's, An",Wilbur D. Nesbit,United States,,bookshelf/processed/odyssey-of-k-s-an-by-wilbur-d-nesbit.txt
"Deacon's Trout, The",Henry Ward Beecher,United States,,bookshelf/processed/deacon-s-trout-the-by-henry-ward-beecher.txt
Enough,Tom Masson,United States,,bookshelf/processed/enough-by-tom-masson.txt
"Fighting Race, The",Joseph I.C. Clarke,United States,,bookshelf/processed/fighting-race-the-by-joseph-i-c-clarke.txt
"Organ, The",Henry Ward Beecher,United States,,bookshelf/processed/organ-the-by-henry-ward-beecher.txt
The Willows,Algernon Blackwood,Other,,bookshelf/processed/the-willows-by-algernon-blackwood.txt
The Shadows On The Wall,Mary Eleanor Wilkins Freeman,Other,,bookshelf/processed/the-shadows-on-the-wall-by-mary-eleanor-wilkins-freeman.txt
